CheckPto	e	n	h
CHK001	385110.081	9059095.584	425.47
CHK002	385139.938	9058326.531	431.35
CHK003	385112.038	9057706.552	437.28
CHK004	385109.490	9057028.130	471.79
CHK005	385112.441	9056299.156	468.52
CHK006	386277.257	9059175.878	434.86
CHK007	386277.257	9059175.878	434.86
CHK008	386271.759	9058484.448	426.80
CHK009	386271.759	9058484.448	426.80
CHK010	386264.577	9057689.012	413.29
CHK011	386264.577	9057689.012	413.29
CHK012	386309.657	9057090.218	423.61
CHK013	386309.657	9057090.218	423.61
CHK014	387541.630	9059130.134	418.89
CHK015	387541.630	9059130.134	418.89
CHK016	387503.204	9058523.317	421.78
CHK017	387503.204	9058523.317	421.78
CHK018	387495.695	9057734.514	417.15
CHK019	387495.695	9057734.514	417.15
CHK020	388758.648	9059166.011	438.70
CHK021	388758.648	9059166.011	438.70
CHK022	388800.688	9058718.751	426.87
CHK023	388800.688	9058718.751	426.87
CHK024	388774.953	9057530.992	417.96
CHK025	388774.953	9057530.992	417.96
CHK026	390054.390	9059060.176	441.21
CHK027	390054.390	9059060.176	441.21
CHK028	390036.376	9058373.618	425.02
CHK029	390036.376	9058373.618	425.02
CHK030	390017.223	9057599.766	437.78
CHK031	390017.223	9057599.766	437.78
CHK032	391286.481	9059181.936	446.20
CHK033	391286.481	9059181.936	446.20
CHK034	391277.777	9058389.914	442.78
CHK035	391277.777	9058389.914	442.78
CHK036	391284.916	9057643.433	452.47
CHK037	391284.916	9057643.433	452.47
CHK038	392543.714	9059105.489	442.02
CHK039	392543.714	9059105.489	442.02
CHK040	392548.007	9058481.751	454.28
CHK041	392548.007	9058481.751	454.28
CHK042	392504.393	9057659.328	459.19
CHK043	392504.393	9057659.328	459.19
CHK044	385783.074	9055298.016	434.29
CHK045	387094.849	9055227.257	416.21
CHK046	387094.849	9055227.257	416.21
CHK047	388406.384	9055213.673	418.37
CHK048	388406.384	9055213.673	418.37
CHK049	389709.398	9055257.808	426.50
CHK050	389709.398	9055257.808	426.50
CHK051	390984.261	9055204.381	426.80
CHK052	390984.261	9055204.381	426.80
CHK053	392284.466	9055232.503	445.38
CHK054	392284.466	9055232.503	445.38
CHK055	393581.978	9055210.014	462.00
CHK056	393581.978	9055210.014	462.00
CHK057	384331.862	9054124.137	432.94
CHK058	384331.862	9054124.137	432.94
CHK059	385559.705	9054176.181	429.99
CHK060	385559.705	9054176.181	429.99
CHK061	385546.747	9053493.321	455.81
CHK062	385546.747	9053493.321	455.81
CHK063	385559.781	9052886.825	469.71
CHK064	385559.781	9052886.825	469.71
CHK065	386941.498	9054223.423	419.53
CHK066	386941.498	9054223.423	419.53
CHK067	386928.288	9053606.396	426.75
CHK068	386928.288	9053606.396	426.75
CHK069	386932.314	9052844.120	442.11
CHK070	386932.314	9052844.120	442.11
CHK071	388236.020	9054260.816	413.92
CHK072	388236.020	9054260.816	413.92
CHK073	388232.441	9053522.809	402.56
CHK074	388232.441	9053522.809	402.56
CHK075	388217.974	9052870.157	400.88
CHK076	388217.974	9052870.157	400.88
CHK077	389530.610	9054334.814	423.42
CHK078	389530.610	9054334.814	423.42
CHK079	389530.919	9053574.471	428.50
CHK080	389530.919	9053574.471	428.50
CHK081	389515.180	9052865.923	422.81
CHK082	389515.180	9052865.923	422.81
CHK083	390811.678	9054353.088	434.15
CHK084	390811.678	9054353.088	434.15
CHK085	390794.447	9053579.243	425.45
CHK086	390794.447	9053579.243	425.45
CHK087	390787.312	9052858.844	419.64
CHK088	390787.312	9052858.844	419.64
CHK089	392178.000	9054247.161	472.22
CHK090	392178.000	9054247.161	472.22
CHK091	392120.060	9053461.336	432.62
CHK092	392120.060	9053461.336	432.62
CHK093	392106.275	9052855.555	427.33
CHK094	392106.275	9052855.555	427.33
CHK095	393401.663	9054134.506	452.78
CHK096	393401.663	9054134.506	452.78
CHK097	393406.850	9053476.571	432.34
CHK098	393406.850	9053476.571	432.34
CHK099	393399.707	9052838.838	419.83
CHK100	393399.707	9052838.838	419.83
CHK101	394670.211	9054215.447	444.01
CHK102	394670.211	9054215.447	444.01
CHK103	394686.764	9053561.782	437.43
CHK104	394686.764	9053561.782	437.43
CHK105	394687.445	9052869.219	440.38
CHK106	394687.445	9052869.219	440.38
CHK107	385801.938	9056187.753	444.49
CHK108	385801.938	9056187.753	444.49
CHK109	385679.604	9056471.077	461.89
CHK110	385679.604	9056471.077	461.89
CHK111	386179.426	9056416.974	429.82
CHK112	386179.426	9056416.974	429.82
CHK113	386943.719	9054256.156	419.18
CHK114	386943.719	9054256.156	419.18
CHK115	386759.237	9056253.711	424.06
CHK116	387101.128	9056302.235	419.44
CHK117	387101.128	9056302.235	419.44
CHK118	387494.502	9056680.137	410.71
CHK119	387494.502	9056680.137	410.71
CHK120	387494.502	9056680.137	410.71
CHK121	387494.502	9056680.137	410.71
CHK122	387495.997	9056212.605	415.12
CHK123	387495.997	9056212.605	415.12
CHK124	387495.997	9056212.605	415.12
CHK125	387495.997	9056212.605	415.12
CHK126	388442.514	9056555.638	407.33
CHK127	388442.514	9056555.638	407.33
CHK128	388442.514	9056555.638	407.33
CHK129	388442.514	9056555.638	407.33
CHK130	388797.372	9056224.846	412.96
CHK131	388797.372	9056224.846	412.96
CHK132	388797.372	9056224.846	412.96
CHK133	388797.372	9056224.846	412.96
CHK134	388806.140	9056637.544	421.93
CHK135	388806.140	9056637.544	421.93
CHK136	388806.140	9056637.544	421.93
CHK137	389759.204	9056671.434	430.71
CHK138	389759.204	9056671.434	430.71
CHK139	389759.204	9056671.434	430.71
CHK140	389759.204	9056671.434	430.71
CHK141	389749.279	9056297.511	422.04
CHK142	389749.279	9056297.511	422.04
CHK143	389749.279	9056297.511	422.04
CHK144	389749.279	9056297.511	422.04
CHK145	389984.260	9056275.208	423.42
CHK146	389984.260	9056275.208	423.42
CHK147	389984.260	9056275.208	423.42
CHK148	389984.260	9056275.208	423.42
CHK149	390007.622	9056770.966	427.30
CHK150	390007.622	9056770.966	427.30
CHK151	390007.622	9056770.966	427.30
CHK152	390007.622	9056770.966	427.30
CHK153	390999.639	9056545.916	425.29
CHK154	390999.639	9056545.916	425.29
CHK155	390999.639	9056545.916	425.29
CHK156	390999.639	9056545.916	425.29
CHK157	390996.863	9056273.225	418.43
CHK158	390996.863	9056273.225	418.43
CHK159	390996.863	9056273.225	418.43
CHK160	390996.863	9056273.225	418.43
CHK161	391289.189	9056301.342	430.33
CHK162	391289.189	9056301.342	430.33
CHK163	391289.189	9056301.342	430.33
CHK164	391289.189	9056301.342	430.33
CHK165	391278.803	9056631.996	428.82
CHK166	391278.803	9056631.996	428.82
CHK167	391278.803	9056631.996	428.82
CHK168	391278.803	9056631.996	428.82
CHK169	392311.572	9056617.160	445.85
CHK170	392311.572	9056617.160	445.85
CHK171	392311.572	9056617.160	445.85
CHK172	392311.572	9056617.160	445.85
CHK173	392273.386	9056280.673	442.28
CHK174	392273.386	9056280.673	442.28
CHK175	392273.386	9056280.673	442.28
CHK176	392273.386	9056280.673	442.28
CHK177	392510.017	9056272.424	444.20
CHK178	392510.017	9056272.424	444.20
CHK179	392510.017	9056272.424	444.20
CHK180	392510.017	9056272.424	444.20
CHK181	392524.795	9056636.872	448.82
CHK182	392524.795	9056636.872	448.82
CHK183	392524.795	9056636.872	448.82
CHK184	392524.795	9056636.872	448.82
CHK185	393643.058	9056546.123	439.66
CHK186	393643.058	9056546.123	439.66
CHK187	393643.058	9056546.123	439.66
CHK188	393643.058	9056546.123	439.66
CHK189	393607.620	9056249.548	444.84
CHK190	393607.620	9056249.548	444.84
CHK191	393607.620	9056249.548	444.84
CHK192	393607.620	9056249.548	444.84
CHK193	386306.530	9056500.552	424.75
CHK194	386306.530	9056500.552	424.75
CHK195	386759.423	9056253.620	424.14
CHK196	387101.307	9056302.422	419.53
CHK197	385771.619	9054204.785	432.11
CHK198	385771.619	9054204.785	432.11
CHK199	385771.619	9054204.785	432.11
CHK200	385796.538	9053681.699	444.98
CHK201	385796.538	9053681.699	444.98
CHK202	385796.538	9053681.699	444.98
CHK203	387071.862	9053960.317	423.24
CHK204	387071.862	9053960.317	423.24
CHK205	388233.533	9053886.062	407.11
CHK206	388233.533	9053886.062	407.11
CHK207	388397.797	9054223.330	407.75
CHK208	388397.797	9054223.330	407.75
CHK209	388391.213	9053904.786	401.96
CHK210	388391.213	9053904.786	401.96
CHK211	389685.071	9053957.178	434.39
CHK212	389685.071	9053957.178	434.39
CHK213	389693.580	9054393.298	422.99
CHK214	389693.580	9054393.298	422.99
CHK215	390991.532	9053867.951	432.85
CHK216	390991.532	9053867.951	432.85
CHK217	390993.166	9054334.246	434.78
CHK218	390993.166	9054334.246	434.78
CHK219	392246.223	9053951.260	489.57
CHK220	392246.223	9053951.260	489.57
CHK221	392255.424	9054180.191	466.25
CHK222	392255.424	9054180.191	466.25
CHK223	393535.496	9053754.563	437.30
CHK224	393535.496	9053754.563	437.30
CHK225	393521.663	9054216.915	443.30
CHK226	393521.663	9054216.915	443.30
CHK227	394861.456	9053937.280	437.94
CHK228	394861.456	9053937.280	437.94
CHK229	394803.368	9054250.399	443.76
CHK230	394803.368	9054250.399	443.76
CHK231	385764.096	9051875.628	438.49
CHK232	385764.096	9051875.628	438.49
CHK233	385764.096	9051875.628	438.49
CHK234	385764.096	9051875.628	438.49
CHK235	386883.745	9051836.930	425.71
CHK236	386883.745	9051836.930	425.71
CHK237	386883.745	9051836.930	425.71
CHK238	386883.745	9051836.930	425.71
CHK239	386851.654	9051584.487	432.32
CHK240	386851.654	9051584.487	432.32
CHK241	386851.654	9051584.487	432.32
CHK242	386851.654	9051584.487	432.32
CHK243	388197.134	9052091.652	403.84
CHK244	388197.134	9052091.652	403.84
CHK245	388197.134	9052091.652	403.84
CHK246	388197.134	9052091.652	403.84
CHK247	388212.749	9051648.820	410.36
CHK248	388212.749	9051648.820	410.36
CHK249	388212.749	9051648.820	410.36
CHK250	388212.749	9051648.820	410.36
CHK251	389540.661	9051719.499	404.42
CHK252	389540.661	9051719.499	404.42
CHK253	389540.661	9051719.499	404.42
CHK254	389540.661	9051719.499	404.42
CHK255	389531.065	9051422.144	393.44
CHK256	389531.065	9051422.144	393.44
CHK257	389531.065	9051422.144	393.44
CHK258	389531.065	9051422.144	393.44
CHK259	390808.555	9052022.102	421.98
CHK260	390808.555	9052022.102	421.98
CHK261	390808.555	9052022.102	421.98
CHK262	390808.555	9052022.102	421.98
CHK263	390781.546	9051647.165	415.95
CHK264	390781.546	9051647.165	415.95
CHK265	390781.546	9051647.165	415.95
CHK266	390781.546	9051647.165	415.95
CHK267	391991.388	9051890.071	412.43
CHK268	391991.388	9051890.071	412.43
CHK269	391991.388	9051890.071	412.43
CHK270	391991.388	9051890.071	412.43
CHK271	391992.867	9051608.892	411.99
CHK272	391992.867	9051608.892	411.99
CHK273	391992.867	9051608.892	411.99
CHK274	391992.867	9051608.892	411.99
CHK275	393365.427	9051793.297	424.59
CHK276	393365.427	9051793.297	424.59
CHK277	393365.427	9051793.297	424.59
CHK278	393365.427	9051793.297	424.59
CHK279	393397.275	9051373.216	424.48
CHK280	393397.275	9051373.216	424.48
CHK281	393397.275	9051373.216	424.48
CHK282	393397.275	9051373.216	424.48
CHK283	394674.464	9051957.476	424.39
CHK284	394674.464	9051957.476	424.39
CHK285	394674.464	9051957.476	424.39
CHK286	394596.481	9051513.607	419.31
CHK287	394596.481	9051513.607	419.31
CHK288	394596.481	9051513.607	419.31
CHK289	386943.687	9054256.041	418.84
CHK290	386943.687	9054256.041	418.84
CHK291	387071.801	9053960.587	423.02
CHK292	387071.801	9053960.587	423.02
CHK293	388398.116	9054223.667	407.04
CHK294	388398.116	9054223.667	407.04
CHK295	388391.715	9053904.989	401.05
CHK296	388391.715	9053904.989	401.05
CHK297	389685.705	9053957.756	434.11
CHK298	389685.705	9053957.756	434.11
CHK299	389694.405	9054393.963	423.00
CHK300	389694.405	9054393.963	423.00
CHK301	390992.703	9053868.289	432.07
CHK302	390992.703	9053868.289	432.07
CHK303	390994.275	9054334.620	434.36
CHK304	390994.275	9054334.620	434.36
CHK305	392248.545	9053951.566	488.15
CHK306	392248.545	9053951.566	488.15
CHK307	392257.616	9054180.391	465.09
CHK308	392257.616	9054180.391	465.09
CHK309	393538.405	9053754.688	436.39
CHK310	393538.405	9053754.688	436.39
CHK311	393524.444	9054216.917	442.62
CHK312	393524.444	9054216.917	442.62
CHK313	394863.888	9053937.310	437.32
CHK314	394863.888	9053937.310	437.32
CHK315	394805.972	9054250.343	443.58
CHK316	394805.972	9054250.343	443.58
