EPSG:31984 # measured over original 9500x9500 raw images
391041.460 9051873.124 416.857 5478 7473 03_008.jpg HV10342 0
391041.460 9051873.124 416.857 1946 7550 03_009.jpg HV10342 1
390035.796 9054244.236 435.394 5729 7529 02_004.jpg HV10355 2
390035.796 9054244.236 435.394 6121 1204 03_007.jpg HV10355 3
390035.796 9054244.236 435.394 2170 7385 02_005.jpg HV10355 4
390035.796 9054244.236 435.394 2705 1147 03_008.jpg HV10355 5
392623.282 9056148.920 444.753 5062 8906 01_007.jpg HV10368 6
392623.282 9056148.920 444.753 5620 2346 02_006.jpg HV10368 7
392623.282 9056148.920 444.753 2048 2058 02_007.jpg HV10368 8
387967.130 9058921.900 437.272 6049 1329 01_003.jpg HV10381 9
387967.130 9058921.900 437.272 2676 1479 01_004.jpg HV10381 10
390238.237 9058556.740 426.980 5300 2311 01_005.jpg HV10382 11
390238.237 9058556.740 426.980 1976 2501 01_006.jpg HV10382 12
391589.349 9058669.223 443.180 5597 2199 01_006.jpg HV10383 13
391589.349 9058669.223 443.180 2232 2096 01_007.jpg HV10383 14
389439.558 9051634.783 403.771 8100 7889 03_006.jpg HV19341 15
389439.558 9051634.783 403.771 4600 8230 03_007.jpg HV19341 16
388121.269 9053950.771 412.977 7502 8069 02_002.jpg HV19354 17
388121.269 9053950.771 412.977 7941 1778 03_005.jpg HV19354 18
388121.269 9053950.771 412.977 4018 8073 02_003.jpg HV19354 19
388121.269 9053950.771 412.977 4453 1762 03_006.jpg HV19354 20
387791.793 9056527.314 413.304 5525 7780 01_003.jpg HV19366 21
387791.793 9056527.314 413.304 6575 1202 02_002.jpg HV19366 22
387791.793 9056527.314 413.304 2032 7892 01_004.jpg HV19366 23
387791.793 9056527.314 413.304 3058 1165 02_003.jpg HV19366 24
